"Cantidad","Descripcion","Importe","Numero Factura","Date"
"5","PASOS JUNIN (R7) - RUTA 7 KM. 272","28512.40","0104-14669730","2026-07-29"
"8","PASOS VILLA ESPIL - RUTA 7 KM. 88","40909.09","0104-14669730","2026-07-29"
"1","IVA 21%","14578.51","0104-14669730","2026-07-29"
"1","Percepción IIBB (PBA)","277.69","0104-14669730","2026-07-29"
"1","Percepción IIBB (CABA)","694.21","0104-14669730","2026-07-29"
"1","PASOS ISLA LA DESEADA - RUTA 174 KM 5,2 (Pte. Rosario-Victoria)","4313.70","0002-00057334","2026-07-28"
"1","IVA 21%","905.88","0002-00057334","2026-07-28"
"1","Percepción IIBB (PBA)","17.25","0002-00057334","2026-07-28"
"1","Percepción IIBB (CABA)","43.14","0002-00057334","2026-07-28"
"75","PASOS LARENA - RUTA 8 KM 65","348347.11","0104-14686742","2026-07-30"
"1","PASOS SAMPACHO - RUTA 8 KM 655","4958.68","0104-14686742","2026-07-30"
"25","PASOS SOLIS - RUTA 8 KM 102","117768.60","0104-14686742","2026-07-30"
"1","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","6198.35","0104-14686742","2026-07-30"
"1","IVA 21%","100227.26","0104-14686742","2026-07-30"
"1","Percepción IIBB (PBA)","1909.09","0104-14686742","2026-07-30"
"1","Percepción IIBB (CABA)","4772.73","0104-14686742","2026-07-30"
"33","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","164876.03","0104-14730110","2026-07-30"
"1","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","6198.35","0104-14730110","2026-07-30"
"1","PASOS MAKALLE - RN 16 - Km 59.80 - MAKALLÉ - CHACO","6198.35","0104-14730110","2026-07-30"
"1","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","6198.35","0104-14730110","2026-07-30"
"20","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","107851.24","0104-14730110","2026-07-30"
"1","IVA 21%","61177.68","0104-14730110","2026-07-30"
"1","Percepción IIBB (PBA)","1165.29","0104-14730110","2026-07-30"
"1","Percepción IIBB (CABA)","2913.22","0104-14730110","2026-07-30"
"26","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","138842.98","0104-14657590","2026-07-29"
"17","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","91735.54","0104-14657590","2026-07-29"
"76","PASOS LAGOS - RUTA 9 KM. 272","399173.55","0104-14657590","2026-07-29"
"398","PASOS ZARATE - RUTA 9 KM. 95","1775206.61","0104-14657590","2026-07-29"
"1","IVA 21%","505041.32","0104-14657590","2026-07-29"
"1","Percepción IIBB (PBA)","9619.83","0104-14657590","2026-07-29"
"1","Percepción IIBB (CABA)","24049.59","0104-14657590","2026-07-29"
"2","PASOS CAÑUELAS - RN 3 KM 76","11815.52","0002-00305189","2026-07-30"
"3","PASOS URIBELARREA - RN 205 KM 83","13292.45","0002-00305189","2026-07-30"
"1","IVA 21%","5272.68","0002-00305189","2026-07-30"
"74","PASOS AGÜERO - AU.RICCHIERI KM 15,80","229271.02","0002-00230476","2026-07-29"
"2","PASOS EZEIZA - AU. EZE-CAÑ KM 32,40 ASC.","11520.18","0002-00230476","2026-07-29"
"9","PASOS MONTE GRANDE - AU. EZE-CAÑ KM 32,70 DESC.","46868.40","0002-00230476","2026-07-29"
"79","PASOS TRISTAN SUAREZ - AU. EZE-CAÑ KM 37,25","433359.35","0002-00230476","2026-07-29"
"1","IVA 21%","151413.99","0002-00230476","2026-07-29"
"54","PASOS 9 DE JULIO - RUTA 5 KM. 244","352727.45","0001-00016210","2026-07-29"
"57","PASOS OLIVERA - RUTA 5 KM. 86","336955.67","0001-00016210","2026-07-29"
"61","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","398643.24","0001-00016210","2026-07-29"
"1","IVA 21%","228548.54","0001-00016210","2026-07-29"
"8","Reintegro frecuencia ZARATE (18 - 21)","1487.60","0104-00077675","2026-07-29"
"13","Reintegro frecuencia ZARATE (22 - 29)","4028.93","0104-00077675","2026-07-29"
"4","Reintegro frecuencia ZARATE (30 - 1000000)","1735.54","0104-00077675","2026-07-29"
"1","IVA 21%","1522.93","0104-00077675","2026-07-29"
