"Cantidad","Descripcion","Importe","Numero Factura","Date"
"10","PASOS JUNIN - RUTA 188 KM 152,20","52066.12","0104-12857917","2026-03-14"
"1","IVA 21%","10933.88","0104-12857917","2026-03-14"
"1","Percepción IIBB (PBA)","208.26","0104-12857917","2026-03-14"
"1","Percepción IIBB (CABA)","520.66","0104-12857917","2026-03-14"
"1","PASOS DEVOTO - RUTA 19 KM 142","4958.68","0104-12820032","2026-03-14"
"1","PASOS FRANCK - RUTA 19 KM 20","6198.35","0104-12820032","2026-03-14"
"2","PASOS SAN VICENTE - RUTA 34 KM 160","8677.69","0104-12820032","2026-03-14"
"1","IVA 21%","4165.28","0104-12820032","2026-03-14"
"1","Percepción IIBB (PBA)","79.34","0104-12820032","2026-03-14"
"1","Percepción IIBB (CABA)","198.35","0104-12820032","2026-03-14"
"73","PASOS LARENA - RUTA 8 KM 65","308677.69","0104-12777826","2026-03-14"
"4","PASOS SAMPACHO - RUTA 8 KM 655","23553.72","0104-12777826","2026-03-14"
"30","PASOS SOLIS - RUTA 8 KM 102","137603.31","0104-12777826","2026-03-14"
"6","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","32231.40","0104-12777826","2026-03-14"
"1","IVA 21%","105433.88","0104-12777826","2026-03-14"
"1","Percepción IIBB (PBA)","2008.26","0104-12777826","2026-03-14"
"1","Percepción IIBB (CABA)","5020.66","0104-12777826","2026-03-14"
"1","PASOS ISLA LA DESEADA - RUTA 174 KM 5,2 (Pte. Rosario-Victoria)","3402.32","0002-00012549","2026-03-13"
"1","IVA 21%","714.49","0002-00012549","2026-03-13"
"1","Percepción IIBB (CABA)","34.02","0002-00012549","2026-03-13"
"25","PASOS 9 DE JULIO - RUTA 5 KM. 244","138842.98","0104-12834810","2026-03-14"
"23","PASOS OLIVERA - RUTA 5 KM. 86","128925.62","0104-12834810","2026-03-14"
"19","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","110330.58","0104-12834810","2026-03-14"
"1","IVA 21%","79400.82","0104-12834810","2026-03-14"
"1","Percepción IIBB (PBA)","1512.40","0104-12834810","2026-03-14"
"1","Percepción IIBB (CABA)","3780.99","0104-12834810","2026-03-14"
"6","PASOS JUNIN (R7) - RUTA 7 KM. 272","31915.09","0104-12880038","2026-03-14"
"15","PASOS VILLA ESPIL - RUTA 7 KM. 88","84779.97","0104-12880038","2026-03-14"
"1","IVA 21%","24505.96","0104-12880038","2026-03-14"
"1","Percepción IIBB (PBA)","466.78","0104-12880038","2026-03-14"
"1","Percepción IIBB (CABA)","1166.95","0104-12880038","2026-03-14"
"36","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","169834.71","0104-12975044","2026-03-15"
"6","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","33471.07","0104-12975044","2026-03-15"
"3","PASOS MAKALLE - RN 16 - Km 59.80 - MAKALLÉ - CHACO","18595.04","0104-12975044","2026-03-15"
"7","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","39669.42","0104-12975044","2026-03-15"
"1","PASOS RIACHUELO - RN 12 - Km 1014 - RIACHUELO - CORRIENTES","6198.35","0104-12975044","2026-03-15"
"24","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","123966.94","0104-12975044","2026-03-15"
"1","IVA 21%","82264.47","0104-12975044","2026-03-15"
"1","Percepción IIBB (PBA)","1566.94","0104-12975044","2026-03-15"
"1","Percepción IIBB (CABA)","3917.36","0104-12975044","2026-03-15"
"8","PASOS CAÑUELAS - RUTA 3 KM. 76","34710.74","0104-12935537","2026-03-14"
"3","PASOS HINOJO - RUTA 226 KM. 276","18595.04","0104-12935537","2026-03-14"
"2","PASOS TANDIL (VASCONIA) - RUTA 226 KM. 153","12396.69","0104-12935537","2026-03-14"
"8","PASOS URIBELARREA - RUTA 205 KM. 83","39669.42","0104-12935537","2026-03-14"
"1","IVA 21%","22128.11","0104-12935537","2026-03-14"
"1","Percepción IIBB (PBA)","421.49","0104-12935537","2026-03-14"
"1","Percepción IIBB (CABA)","1053.72","0104-12935537","2026-03-14"
"24","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","122727.27","0104-12920933","2026-03-14"
"14","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","75619.83","0104-12920933","2026-03-14"
"94","PASOS LAGOS - RUTA 9 KM. 272","493388.43","0104-12920933","2026-03-14"
"313","PASOS ZARATE - RUTA 9 KM. 95","1470247.93","0104-12920933","2026-03-14"
"1","IVA 21%","454016.54","0104-12920933","2026-03-14"
"1","Percepción IIBB (PBA)","8647.93","0104-12920933","2026-03-14"
"1","Percepción IIBB (CABA)","21619.83","0104-12920933","2026-03-14"
"2","CONSUMOS EZEIZA - PARKING AEROPUERTO EZEIZA","24000.00","0468-00583655","2026-03-14"
"2","Bonificacion parking 25.00 %","-4958.68","0468-00583655","2026-03-14"
"1","Bonificacion (IVA 21%)","-1041.32","0468-00583655","2026-03-14"
"1","Percepción IIBB (PBA)","59.50","0468-00583655","2026-03-14"
"1","Percepción IIBB (CABA)","148.76","0468-00583655","2026-03-14"
"4","Reintegro frecuencia ZARATE (18 - 21)","743.80","0104-00067641","2026-03-14"
"2","Reintegro frecuencia ZARATE (22 - 29)","619.83","0104-00067641","2026-03-14"
"1","IVA 21%","286.37","0104-00067641","2026-03-14"
