"Cantidad","Descripcion","Importe","Numero Factura","Date"
"6","PASOS JUNIN - RUTA 188 KM 152,20","34710.74","0104-15078945","2026-08-29"
"1","IVA 21%","7289.26","0104-15078945","2026-08-29"
"1","Percepción IIBB (PBA)","138.84","0104-15078945","2026-08-29"
"1","Percepción IIBB (CABA)","347.11","0104-15078945","2026-08-29"
"53","PASOS LARENA - RUTA 8 KM 65","241735.54","0104-14927572","2026-08-28"
"1","PASOS SAMPACHO - RUTA 8 KM 655","4958.68","0104-14927572","2026-08-28"
"21","PASOS SOLIS - RUTA 8 KM 102","69421.49","0104-14927572","2026-08-28"
"3","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","11157.02","0104-14927572","2026-08-28"
"1","IVA 21%","68727.27","0104-14927572","2026-08-28"
"1","Percepción IIBB (PBA)","1309.09","0104-14927572","2026-08-28"
"1","Percepción IIBB (CABA)","3272.73","0104-14927572","2026-08-28"
"1","PASOS CAÑUELAS - RN 3 KM 76","7384.70","0002-00633178","2026-08-29"
"6","PASOS HINOJO - RN 226 KM 276","36923.50","0002-00633178","2026-08-29"
"10","PASOS URIBELARREA - RN 205 KM 83","54646.78","0002-00633178","2026-08-29"
"1","IVA 21%","20780.55","0002-00633178","2026-08-29"
"1","PASOS JUNIN (R7) - RUTA 7 KM. 272","6198.35","0104-15051800","2026-08-29"
"8","PASOS VILLA ESPIL - RUTA 7 KM. 88","39669.42","0104-15051800","2026-08-29"
"1","IVA 21%","9632.23","0104-15051800","2026-08-29"
"1","Percepción IIBB (PBA)","183.47","0104-15051800","2026-08-29"
"1","Percepción IIBB (CABA)","458.68","0104-15051800","2026-08-29"
"83","PASOS AGÜERO - AU.RICCHIERI KM 15,80","394147.42","0002-00503876","2026-08-28"
"5","PASOS MONTE GRANDE - AU. EZE-CAÑ KM 32,70 DESC.","27668.11","0002-00503876","2026-08-28"
"76","PASOS TRISTAN SUAREZ - AU. EZE-CAÑ KM 37,25","423095.44","0002-00503876","2026-08-28"
"1","IVA 21%","177431.30","0002-00503876","2026-08-28"
"35","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","193388.43","0104-14992006","2026-08-29"
"28","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","161157.02","0104-14992006","2026-08-29"
"89","PASOS LAGOS - RUTA 9 KM. 272","483471.07","0104-14992006","2026-08-29"
"325","PASOS ZARATE - RUTA 9 KM. 95","1571900.83","0104-14992006","2026-08-29"
"1","IVA 21%","506082.65","0104-14992006","2026-08-29"
"1","Percepción IIBB (PBA)","9639.67","0104-14992006","2026-08-29"
"1","Percepción IIBB (CABA)","24099.17","0104-14992006","2026-08-29"
"10","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","47107.44","0104-15068872","2026-08-29"
"3","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","14876.03","0104-15068872","2026-08-29"
"2","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","9917.36","0104-15068872","2026-08-29"
"10","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","53305.79","0104-15068872","2026-08-29"
"1","IVA 21%","26293.38","0104-15068872","2026-08-29"
"1","Percepción IIBB (PBA)","500.83","0104-15068872","2026-08-29"
"1","Percepción IIBB (CABA)","1252.07","0104-15068872","2026-08-29"
"2","PASOS DEVOTO - RUTA 19 KM 142","9917.36","0104-14967578","2026-08-29"
"3","PASOS FRANCK - RUTA 19 KM 20","14876.03","0104-14967578","2026-08-29"
"1","PASOS SAN VICENTE - RUTA 34 KM 160","4958.68","0104-14967578","2026-08-29"
"1","IVA 21%","6247.93","0104-14967578","2026-08-29"
"1","Percepción IIBB (PBA)","119.01","0104-14967578","2026-08-29"
"1","Percepción IIBB (CABA)","297.52","0104-14967578","2026-08-29"
"33","PASOS 9 DE JULIO - RUTA 5 KM. 244","180186.69","0001-00047424","2026-08-28"
"33","PASOS OLIVERA - RUTA 5 KM. 86","169848.13","0001-00047424","2026-08-28"
"31","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","174278.93","0001-00047424","2026-08-28"
"1","IVA 21%","110105.89","0001-00047424","2026-08-28"
"1","CONSUMOS EZEIZA - PARKING AEROPUERTO EZEIZA","9000.00","0468-00699475","2026-08-29"
"1","Bonificacion parking 25.00 %","-1859.50","0468-00699475","2026-08-29"
"1","Bonificacion (IVA 21%)","-390.50","0468-00699475","2026-08-29"
"1","Percepción IIBB (PBA)","22.31","0468-00699475","2026-08-29"
"1","Percepción IIBB (CABA)","55.79","0468-00699475","2026-08-29"
