FECHA;HORA;ESTACION;VIA;DISPOSITIVOT;DISPOSITIVON;DOMINIO;CATEGORIA;TARIFA;BONIFICACION;TIPO_DE_DOCUMENTO;DOCUMENTO_LEGAL;DOCUMENTO_SA;CLIENTE_WEB;CLIENTE_RED;SUB_CUENTA
2026-06-29;212153;0001;11;SI90;94579785;AD482MT;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;224751;0001;11;SI90;97371592;AG110LK;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;231202;0001;11;SI90;94959737;AF091AI;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-30;123011;0001;11;SI90;99540243;AF389UV;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;175741;0001;12;SI90;99567025;AE284KH;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;182307;0001;12;SI90;99738109;AE454PH;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;184746;0001;12;SI90;61276153;AH800QR;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;150712;0001;13;SI90;90836134;AD933WS;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;205503;0001;13;SI90;99561570;AF509QF;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;45005;0001;13;SI90;97371592;AG110LK;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;50139;0001;13;SI90;94931038;AE952TH;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;153519;0001;13;SI90;61276153;AH800QR;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;180213;0001;13;SI90;99779063;AG533MF;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;122243;0001;13;SI90;99561570;AF509QF;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
