"Cantidad","Descripcion","Importe","Numero Factura","Date"
"8","PASOS JUNIN - RUTA 188 KM 152,20","47107.44","0104-13928956","2026-05-29"
"1","IVA 21%","9892.56","0104-13928956","2026-05-29"
"1","Percepción IIBB (PBA)","188.43","0104-13928956","2026-05-29"
"1","Percepción IIBB (CABA)","471.07","0104-13928956","2026-05-29"
"64","PASOS LARENA - RUTA 8 KM 65","277685.95","0104-13812817","2026-05-29"
"1","PASOS SAMPACHO - RUTA 8 KM 655","6198.35","0104-13812817","2026-05-29"
"11","PASOS SOLIS - RUTA 8 KM 102","55785.12","0104-13812817","2026-05-29"
"2","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","9917.36","0104-13812817","2026-05-29"
"1","IVA 21%","73413.22","0104-13812817","2026-05-29"
"1","Percepción IIBB (PBA)","1398.35","0104-13812817","2026-05-29"
"1","Percepción IIBB (CABA)","3495.87","0104-13812817","2026-05-29"
"3","PASOS JUNIN (R7) - RUTA 7 KM. 272","18595.04","0104-13915611","2026-05-29"
"9","PASOS VILLA ESPIL - RUTA 7 KM. 88","49586.78","0104-13915611","2026-05-29"
"1","IVA 21%","14318.18","0104-13915611","2026-05-29"
"1","Percepción IIBB (PBA)","272.73","0104-13915611","2026-05-29"
"1","Percepción IIBB (CABA)","681.82","0104-13915611","2026-05-29"
"5","PASOS DEVOTO - RUTA 19 KM 142","28512.40","0104-13869875","2026-05-29"
"9","PASOS FRANCK - RUTA 19 KM 20","48347.11","0104-13869875","2026-05-29"
"3","PASOS SAN VICENTE - RUTA 34 KM 160","14876.03","0104-13869875","2026-05-29"
"1","IVA 21%","19264.46","0104-13869875","2026-05-29"
"1","Percepción IIBB (PBA)","366.94","0104-13869875","2026-05-29"
"1","Percepción IIBB (CABA)","917.36","0104-13869875","2026-05-29"
"3","PASOS CAÑUELAS - RUTA 3 KM. 76","11157.02","0104-13874234","2026-05-29"
"10","PASOS HINOJO - RUTA 226 KM. 276","43388.43","0104-13874234","2026-05-29"
"3","PASOS URIBELARREA - RUTA 205 KM. 83","12396.69","0104-13874234","2026-05-29"
"1","IVA 21%","14057.86","0104-13874234","2026-05-29"
"1","Percepción IIBB (PBA)","267.77","0104-13874234","2026-05-29"
"1","Percepción IIBB (CABA)","669.42","0104-13874234","2026-05-29"
"69","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","354545.45","0104-13922400","2026-05-29"
"3","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","17355.37","0104-13922400","2026-05-29"
"3","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","17355.37","0104-13922400","2026-05-29"
"10","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","59504.13","0104-13922400","2026-05-29"
"1","IVA 21%","94239.68","0104-13922400","2026-05-29"
"1","Percepción IIBB (PBA)","1795.04","0104-13922400","2026-05-29"
"1","Percepción IIBB (CABA)","4487.60","0104-13922400","2026-05-29"
"32","PASOS 9 DE JULIO - RUTA 5 KM. 244","167355.37","0104-13994743","2026-05-30"
"36","PASOS OLIVERA - RUTA 5 KM. 86","172314.05","0104-13994743","2026-05-30"
"29","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","152479.34","0104-13994743","2026-05-30"
"1","IVA 21%","103351.24","0104-13994743","2026-05-30"
"1","Percepción IIBB (PBA)","1968.60","0104-13994743","2026-05-30"
"1","Percepción IIBB (CABA)","4921.49","0104-13994743","2026-05-30"
"5","PASOS ISLA LA DESEADA - RUTA 174 KM 5,2 (Pte. Rosario-Victoria)","17254.79","0002-00026198","2026-05-29"
"1","IVA 21%","3623.51","0002-00026198","2026-05-29"
"1","Percepción IIBB (PBA)","69.02","0002-00026198","2026-05-29"
"1","Percepción IIBB (CABA)","172.55","0002-00026198","2026-05-29"
"23","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","123966.94","0104-13959173","2026-05-29"
"14","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","78099.17","0104-13959173","2026-05-29"
"92","PASOS LAGOS - RUTA 9 KM. 272","484710.74","0104-13959173","2026-05-29"
"1","PASOS NO FACTURADOS: AD482MT - RUTA 9 KM. 95","1239.67","0104-13959173","2026-05-29"
"360","PASOS ZARATE - RUTA 9 KM. 95","1751652.89","0104-13959173","2026-05-29"
"1","IVA 21%","512330.59","0104-13959173","2026-05-29"
"1","Percepción IIBB (PBA)","9758.68","0104-13959173","2026-05-29"
"1","Percepción IIBB (CABA)","24396.69","0104-13959173","2026-05-29"
"2","Reintegro frecuencia ZARATE (18 - 21)","371.90","0104-00073831","2026-05-30"
"1","IVA 21%","78.10","0104-00073831","2026-05-30"
