"Cantidad","Descripcion","Importe","Numero Factura","Date"
"1","PASOS CERES - RUTA 34 KM 378","4958.68","0104-14273717","2026-06-29"
"3","PASOS DEVOTO - RUTA 19 KM 142","17355.37","0104-14273717","2026-06-29"
"8","PASOS FRANCK - RUTA 19 KM 20","48347.11","0104-14273717","2026-06-29"
"2","PASOS SAN VICENTE - RUTA 34 KM 160","11157.02","0104-14273717","2026-06-29"
"1","IVA 21%","17181.82","0104-14273717","2026-06-29"
"1","Percepción IIBB (PBA)","327.27","0104-14273717","2026-06-29"
"1","Percepción IIBB (CABA)","818.18","0104-14273717","2026-06-29"
"2","PASOS ISLA LA DESEADA - RUTA 174 KM 5,2 (Pte. Rosario-Victoria)","7764.66","0002-00042261","2026-06-28"
"1","IVA 21%","1630.58","0002-00042261","2026-06-28"
"1","Percepción IIBB (PBA)","31.06","0002-00042261","2026-06-28"
"1","Percepción IIBB (CABA)","77.65","0002-00042261","2026-06-28"
"3","PASOS JUNIN (R7) - RUTA 7 KM. 272","18595.04","0104-14393564","2026-06-29"
"6","PASOS VILLA ESPIL - RUTA 7 KM. 88","37190.08","0104-14393564","2026-06-29"
"1","IVA 21%","11714.88","0104-14393564","2026-06-29"
"1","Percepción IIBB (PBA)","223.14","0104-14393564","2026-06-29"
"1","Percepción IIBB (CABA)","557.85","0104-14393564","2026-06-29"
"7","PASOS JUNIN - RUTA 188 KM 152,20","35950.41","0104-14419561","2026-06-29"
"1","IVA 21%","7549.59","0104-14419561","2026-06-29"
"1","Percepción IIBB (PBA)","143.80","0104-14419561","2026-06-29"
"1","Percepción IIBB (CABA)","359.50","0104-14419561","2026-06-29"
"7","PASOS CAÑUELAS - RUTA 3 KM. 76","35950.41","0104-14334787","2026-06-29"
"8","PASOS HINOJO - RUTA 226 KM. 276","42148.76","0104-14334787","2026-06-29"
"1","IVA 21%","16400.83","0104-14334787","2026-06-29"
"1","Percepción IIBB (PBA)","312.40","0104-14334787","2026-06-29"
"1","Percepción IIBB (CABA)","780.99","0104-14334787","2026-06-29"
"48","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","249173.55","0104-14408858","2026-06-29"
"1","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","6198.35","0104-14408858","2026-06-29"
"1","PASOS MAKALLE - RN 16 - Km 59.80 - MAKALLÉ - CHACO","6198.35","0104-14408858","2026-06-29"
"1","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","6198.35","0104-14408858","2026-06-29"
"17","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","96694.21","0104-14408858","2026-06-29"
"1","IVA 21%","76537.19","0104-14408858","2026-06-29"
"1","Percepción IIBB (PBA)","1457.85","0104-14408858","2026-06-29"
"1","Percepción IIBB (CABA)","3644.63","0104-14408858","2026-06-29"
"1","CONSUMOS EZEIZA - PARKING AEROPUERTO EZEIZA","16800.00","0468-00660772","2026-06-28"
"1","Bonificacion parking 25.00 %","-3471.07","0468-00660772","2026-06-28"
"1","Bonificacion (IVA 21%)","-728.93","0468-00660772","2026-06-28"
"1","Percepción IIBB (PBA)","41.65","0468-00660772","2026-06-28"
"1","Percepción IIBB (CABA)","104.13","0468-00660772","2026-06-28"
