"Cantidad","Descripcion","Importe","Numero Factura","Date"
"7","PASOS JUNIN - RUTA 188 KM 152,20","37190.08","0104-13407800","2026-04-15"
"1","IVA 21%","7809.92","0104-13407800","2026-04-15"
"1","Percepción IIBB (PBA)","148.76","0104-13407800","2026-04-15"
"1","Percepción IIBB (CABA)","371.90","0104-13407800","2026-04-15"
"1","PASOS CERES - RUTA 34 KM 378","6198.35","0104-13262127","2026-04-14"
"1","PASOS SAN VICENTE - RUTA 34 KM 160","6198.35","0104-13262127","2026-04-14"
"1","IVA 21%","2603.30","0104-13262127","2026-04-14"
"1","Percepción IIBB (PBA)","49.59","0104-13262127","2026-04-14"
"1","Percepción IIBB (CABA)","123.97","0104-13262127","2026-04-14"
"3","PASOS CAÑUELAS - RUTA 3 KM. 76","14876.03","0104-13197485","2026-04-14"
"2","PASOS HINOJO - RUTA 226 KM. 276","9917.36","0104-13197485","2026-04-14"
"1","PASOS URIBELARREA - RUTA 205 KM. 83","4958.68","0104-13197485","2026-04-14"
"1","IVA 21%","6247.93","0104-13197485","2026-04-14"
"1","Percepción IIBB (PBA)","119.01","0104-13197485","2026-04-14"
"1","Percepción IIBB (CABA)","297.52","0104-13197485","2026-04-14"
"36","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","176033.06","0104-13403235","2026-04-15"
"12","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","65702.48","0104-13403235","2026-04-15"
"1","IVA 21%","50764.46","0104-13403235","2026-04-15"
"1","Percepción IIBB (PBA)","966.94","0104-13403235","2026-04-15"
"1","Percepción IIBB (CABA)","2417.36","0104-13403235","2026-04-15"
"11","PASOS JUNIN (R7) - RUTA 7 KM. 272","64462.81","0104-13383826","2026-04-15"
"10","PASOS VILLA ESPIL - RUTA 7 KM. 88","61983.47","0104-13383826","2026-04-15"
"1","IVA 21%","26553.72","0104-13383826","2026-04-15"
"1","Percepción IIBB (PBA)","505.79","0104-13383826","2026-04-15"
"1","Percepción IIBB (CABA)","1264.46","0104-13383826","2026-04-15"
"33","PASOS 9 DE JULIO - RUTA 5 KM. 244","182231.40","0104-13237744","2026-04-14"
"40","PASOS OLIVERA - RUTA 5 KM. 86","194628.10","0104-13237744","2026-04-14"
"25","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","142561.98","0104-13237744","2026-04-14"
"1","IVA 21%","109078.52","0104-13237744","2026-04-14"
"1","Percepción IIBB (PBA)","2077.69","0104-13237744","2026-04-14"
"1","Percepción IIBB (CABA)","5194.21","0104-13237744","2026-04-14"
"41","PASOS LARENA - RUTA 8 KM 65","167355.37","0104-13272846","2026-04-14"
"3","PASOS SAMPACHO - RUTA 8 KM 655","14876.03","0104-13272846","2026-04-14"
"24","PASOS SOLIS - RUTA 8 KM 102","121487.60","0104-13272846","2026-04-14"
"5","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","27272.73","0104-13272846","2026-04-14"
"1","IVA 21%","69508.27","0104-13272846","2026-04-14"
"1","Percepción IIBB (PBA)","1323.97","0104-13272846","2026-04-14"
"1","Percepción IIBB (CABA)","3309.92","0104-13272846","2026-04-14"
"18","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","99173.55","0104-13355604","2026-04-15"
"15","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","83057.85","0104-13355604","2026-04-15"
"48","PASOS LAGOS - RUTA 9 KM. 272","255371.90","0104-13355604","2026-04-15"
"279","PASOS ZARATE - RUTA 9 KM. 95","1294214.88","0104-13355604","2026-04-15"
"1","IVA 21%","363681.82","0104-13355604","2026-04-15"
"1","Percepción IIBB (PBA)","6927.27","0104-13355604","2026-04-15"
"1","Percepción IIBB (CABA)","17318.18","0104-13355604","2026-04-15"
"1","Reintegro frecuencia ZARATE (18 - 21)","185.95","0104-00069957","2026-04-15"
"1","IVA 21%","39.05","0104-00069957","2026-04-15"
