FECHA;HORA;ESTACION;VIA;DISPOSITIVO;PATENTE;CATEGORIA;TARIFA;BONIFICACION;TIPO_DE_DOCUMENTO;DOCUMENTO_LEGAL;DOCUMENTO_SA;CLIENTE__WEB;CLIENTE_RED;SUB_CUENTA
2026-07-16;01:34:14;CAMPANA;0003;94891934;AE751PA;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;05:17:58;CAMPANA;0001;93423682;AH033DL;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;05:19:56;CAMPANA;0001;92093802;AD985XP;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;06:40:49;CAMPANA;0001;91356520;AB456CP;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;08:29:11;CAMPANA;0109;99705864;AG249HS;2;1192.99;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;09:26:24;CAMPANA DECALADA;0002;91515905;AB633TY;6;4771.95;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;10:04:37;PILAR;0001;93423682;AH033DL;6;4771.95;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;10:10:03;CAMPANA;0003;96073469;AB151SM;6;4771.95;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;10:19:23;CAMPANA;0020;99541571;AF411UY;6;4771.95;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;11:19:53;TIGRE;0002;91356520;AB456CP;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;12:44:43;CAMPANA;0003;94931038;AE952TH;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;12:53:30;CAMPANA;0020;97010413;AE469PH;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;19:30:44;CAMPANA;0111;99756221;AF740MG;2;1192.99;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-16;20:03:48;CAMPANA DECALADA;0002;94402656;AC295IE;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;00:52:37;CAMPANA;0020;94530188;AD736OU;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;01:32:53;CAMPANA;0012;99756221;AF740MG;2;994.15;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;06:13:05;CAMPANA;0001;94337220;OWG130;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;06:27:37;CAMPANA;0001;94975930;AD625QA;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;10:02:36;CAMINO REAL DESCENDENTE;0001;94975930;AD625QA;6;4771.95;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;10:37:06;CAMPANA;0003;90798189;AD584GR;3;2385.97;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;11:42:27;CAMPANA;0001;94685660;AB456CQ;6;3976.59;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;12:23:14;CAMPANA;0019;93415947;AG893YR;7;4970.74;0.00;0;30708488891;30708488891;560773;560773;1
2026-07-17;12:31:23;CAMPANA;0019;97010173;AG916MK;7;4970.74;0.00;0;30708488891;30708488891;560773;560773;1
