"Cantidad","Descripcion","Importe","Numero Factura","Date"
"8","PASOS JUNIN - RUTA 188 KM 152,20","48347.11","0104-13191073","2026-03-29"
"1","IVA 21%","10152.89","0104-13191073","2026-03-29"
"1","Percepción IIBB (PBA)","193.39","0104-13191073","2026-03-29"
"1","Percepción IIBB (CABA)","483.47","0104-13191073","2026-03-29"
"16","PASOS COLONIA VICTORIA - RN 12 - Km 1551 - C. VICTORIA - MISIONES","76859.50","0104-13184933","2026-03-29"
"3","PASOS ITUZAINGO - RN 12 - Km 1262 - ITUZINGÓ - CORRIENTES","16115.70","0104-13184933","2026-03-29"
"1","PASOS MAKALLE - RN 16 - Km 59.80 - MAKALLÉ - CHACO","4958.68","0104-13184933","2026-03-29"
"2","PASOS PUENTE GRAL. BELGRANO - RN 16 - Km 5.00 - BARRANQUERAS - CHACO","11157.02","0104-13184933","2026-03-29"
"16","PASOS SANTA ANA - RN 12 - Km 1375 - SANTA ANA - MISIONES","84297.52","0104-13184933","2026-03-29"
"1","IVA 21%","40611.58","0104-13184933","2026-03-29"
"1","Percepción IIBB (PBA)","773.55","0104-13184933","2026-03-29"
"1","Percepción IIBB (CABA)","1933.88","0104-13184933","2026-03-29"
"66","PASOS LARENA - RUTA 8 KM 65","318595.04","0104-13039536","2026-03-29"
"2","PASOS SAMPACHO - RUTA 8 KM 655","12396.69","0104-13039536","2026-03-29"
"30","PASOS SOLIS - RUTA 8 KM 102","135123.97","0104-13039536","2026-03-29"
"4","PASOS V. TUERTO (RN8) - RUTA 8 KM 381","21074.38","0104-13039536","2026-03-29"
"1","IVA 21%","102309.92","0104-13039536","2026-03-29"
"1","Percepción IIBB (PBA)","1948.76","0104-13039536","2026-03-29"
"1","Percepción IIBB (CABA)","4871.90","0104-13039536","2026-03-29"
"1","PASOS CERES - RUTA 34 KM 378","4958.68","0104-13063246","2026-03-29"
"7","PASOS FRANCK - RUTA 19 KM 20","38429.75","0104-13063246","2026-03-29"
"6","PASOS SAN VICENTE - RUTA 34 KM 160","29752.07","0104-13063246","2026-03-29"
"1","IVA 21%","15359.50","0104-13063246","2026-03-29"
"1","Percepción IIBB (PBA)","292.56","0104-13063246","2026-03-29"
"1","Percepción IIBB (CABA)","731.41","0104-13063246","2026-03-29"
"23","PASOS CARCARAÑA - AUTOVIA ROSARIO - CORDOBA KM. 356","122727.27","0104-13098867","2026-03-29"
"23","PASOS JAMES CRAIK - AUTOVIA ROSARIO - CORDOBA KM. 595","125206.61","0104-13098867","2026-03-29"
"90","PASOS LAGOS - RUTA 9 KM. 272","478512.40","0104-13098867","2026-03-29"
"299","PASOS ZARATE - RUTA 9 KM. 95","1357438.02","0104-13098867","2026-03-29"
"1","IVA 21%","437615.70","0104-13098867","2026-03-29"
"1","Percepción IIBB (PBA)","8335.54","0104-13098867","2026-03-29"
"1","Percepción IIBB (CABA)","20838.84","0104-13098867","2026-03-29"
"3","PASOS CAÑUELAS - RUTA 3 KM. 76","13636.36","0104-12979203","2026-03-28"
"3","PASOS HINOJO - RUTA 226 KM. 276","13636.36","0104-12979203","2026-03-28"
"1","PASOS TANDIL (VASCONIA) - RUTA 226 KM. 153","4958.68","0104-12979203","2026-03-28"
"1","PASOS URIBELARREA - RUTA 205 KM. 83","3719.01","0104-12979203","2026-03-28"
"1","IVA 21%","7549.59","0104-12979203","2026-03-28"
"1","Percepción IIBB (PBA)","143.80","0104-12979203","2026-03-28"
"1","Percepción IIBB (CABA)","359.50","0104-12979203","2026-03-28"
"8","PASOS JUNIN (R7) - RUTA 7 KM. 272","42148.76","0104-13167118","2026-03-29"
"12","PASOS VILLA ESPIL - RUTA 7 KM. 88","68181.82","0104-13167118","2026-03-29"
"1","IVA 21%","23169.42","0104-13167118","2026-03-29"
"1","Percepción IIBB (PBA)","441.32","0104-13167118","2026-03-29"
"1","Percepción IIBB (CABA)","1103.31","0104-13167118","2026-03-29"
"24","PASOS 9 DE JULIO - RUTA 5 KM. 244","121487.60","0104-13156773","2026-03-29"
"27","PASOS OLIVERA - RUTA 5 KM. 86","121487.60","0104-13156773","2026-03-29"
"23","PASOS TRENQUE LAUQUEN - RUTA 5 KM 429","115289.26","0104-13156773","2026-03-29"
"1","IVA 21%","75235.54","0104-13156773","2026-03-29"
"1","Percepción IIBB (PBA)","1433.06","0104-13156773","2026-03-29"
"1","Percepción IIBB (CABA)","3582.64","0104-13156773","2026-03-29"
